Zipcode	Median_Income	Prevelance	COUNTYNAME
32003	42439	7.752127214395313	Clay
32011	30398	10.503825211937418	Nassau
32024	27115	8.72403865926383	Columbia
32024	27115	8.72403865926383	Suwannee
32024	27115	0.07197203372403867	Columbia
32024	27115	0.07197203372403867	Suwannee
32025	26306	14.669456781687733	Columbia
32034	34240	7.152081329853003	Nassau
32038	25422	6.038884524744698	Columbia
32043	31417	9.662341547320793	Clay
32043	31417	9.662341547320793	Putnam
32043	31417	0	Clay
32043	31417	0	Putnam
32060	23215	12.807513297872342	Suwannee
32065	34731	8.522650893937357	Clay
32068	31413	6.990663990925748	Clay
32073	30128	8.24082784571966	Clay
32080	34643	0	Flagler
32080	34643	0	St. Johns
32080	34643	5.92516059476214	Flagler
32080	34643	5.92516059476214	St. Johns
32081	49413	0.28271405492730206	Duval
32081	49413	0.28271405492730206	St. Johns
32081	49413	10.009423801830911	Duval
32081	49413	10.009423801830911	St. Johns
32082	48789	7.973411048167916	St. Johns
32084	25859	7.427085372332988	St. Johns
32086	30428	7.829614604462474	St. Johns
32092	42487	8.529205165613012	St. Johns
32110	20734	5.733639772589815	Flagler
32114	20619	7.863731847657321	Volusia
32117	22690	8.52980132450331	Volusia
32118	28052	5.159817351598173	Volusia
32119	24547	5.419799498746867	Volusia
32127	28623	5.579314428580828	Volusia
32128	35396	5.731010716140301	Volusia
32129	26263	5.517241379310345	Volusia
32132	26606	5.178335535006605	Volusia
32136	30806	4.936190705514086	Flagler
32136	30806	4.936190705514086	Volusia
32136	30806	0.04815795810257645	Flagler
32136	30806	0.04815795810257645	Volusia
32137	28739	5.025526483726867	Flagler
32141	26385	4.3718144080710415	Volusia
32159	27023	5.1671122994652405	Lake
32159	27023	5.1671122994652405	Sumter
32159	27023	0.10695187165775401	Lake
32159	27023	0.10695187165775401	Sumter
32162	31931	0.36214081636366946	Marion
32162	31931	0.36214081636366946	Sumter
32162	31931	4.187366926898509	Marion
32162	31931	4.187366926898509	Sumter
32164	25989	5.5385395323292705	Flagler
32168	28399	6.149066078976842	Volusia
32174	30079	0.007817844229453728	Flagler
32174	30079	0.007817844229453728	Volusia
32174	30079	5.585849701944689	Flagler
32174	30079	5.585849701944689	Volusia
32176	27857	4.730290456431535	Volusia
32177	20971	9.864034270813931	Putnam
32205	29313	8.041577297475664	Duval
32206	19924	8.810132900730018	Duval
32207	29899	8.808611361587015	Duval
32208	20659	11.82516779611556	Duval
32209	18521	8.324509944198025	Duval
32210	28282	8.707774626095926	Duval
32211	25838	7.344981350085537	Duval
32216	31730	10.870759331432607	Duval
32217	30898	8.045630433690135	Duval
32218	30257	9.703626165888107	Duval
32220	31314	8.936137431630845	Duval
32221	28561	9.45631067961165	Duval
32223	39755	7.923975418175898	Duval
32224	39624	7.274501793090926	Duval
32225	36540	9.040677596422988	Duval
32226	37803	10.704027573881406	Duval
32233	31926	7.117979102446055	Duval
