Zipcode	Average_Household_Size	Prevelance	COUNTYNAME
34744	3.3200000000000003	12.11537788	Osceola
34746	3.2600000000000002	11.02985984	Osceola
34747	2.82	11.47326028	Osceola
34748	2.59	7.001525877	Lake
34758	3.61	8.27712491	Osceola
34759	3.36	0.05894923	Osceola
34759	3.36	0.05894923	Polk
34759	3.36	6.494240169	Osceola
34759	3.36	6.494240169	Polk
34761	3.35	8.267922554	Orange
34769	3.27	9.025805161	Osceola
34771	3.24	8.398251948	Osceola
34772	3.31	9.018322942	Osceola
34785	2.18	2.443761976	Sumter
34786	3.28	7.142857143	Orange
34787	3.25	0.020006859	Lake
34787	3.25	0.020006859	Orange
34787	3.25	8.33285698	Lake
34787	3.25	8.33285698	Orange
34788	2.68	5.111856208	Lake
34950	3.3200000000000003	9.215202072	St. Lucie
34951	2.77	4.694259324	St. Lucie
34952	2.81	6.844371737	St. Lucie
34953	3.25	7.148009335	St. Lucie
34956	3.49	11.81516865	Martin
34957	2.5500000000000003	4.275124978	Martin
34957	2.5500000000000003	4.275124978	St. Lucie
34957	2.5500000000000003	0.077572832	Martin
34957	2.5500000000000003	0.077572832	St. Lucie
34972	3.37	9.163193945	Okeechobee
34972	3.37	9.163193945	Osceola
34972	3.37	9.163193945	St. Lucie
34972	3.37	0.019159841	Okeechobee
34972	3.37	0.019159841	Osceola
34972	3.37	0.019159841	St. Lucie
34972	3.37	0.019159841	Okeechobee
34972	3.37	0.019159841	Osceola
34972	3.37	0.019159841	St. Lucie
34974	2.71	0.016700067	Glades
34974	2.71	0.016700067	Highlands
34974	2.71	0.016700067	Martin
34974	2.71	0.016700067	Okeechobee
34974	2.71	0.016700067	Palm Beach
34974	2.71	0.016700067	Glades
34974	2.71	0.016700067	Highlands
34974	2.71	0.016700067	Martin
34974	2.71	0.016700067	Okeechobee
34974	2.71	0.016700067	Palm Beach
34974	2.71	0.020875084	Glades
34974	2.71	0.020875084	Highlands
34974	2.71	0.020875084	Martin
34974	2.71	0.020875084	Okeechobee
34974	2.71	0.020875084	Palm Beach
34974	2.71	6.433700735	Glades
34974	2.71	6.433700735	Highlands
34974	2.71	6.433700735	Martin
34974	2.71	6.433700735	Okeechobee
34974	2.71	6.433700735	Palm Beach
34974	2.71	0	Glades
34974	2.71	0	Highlands
34974	2.71	0	Martin
34974	2.71	0	Okeechobee
34974	2.71	0	Palm Beach
34982	3	7.642729262	St. Lucie
34983	3.0999999999999996	7.176888225	St. Lucie
34984	2.98	6.44215778	St. Lucie
34990	2.71	6.023534118	Martin
34990	2.71	6.023534118	St. Lucie
34990	2.71	0.023334111	Martin
34990	2.71	0.023334111	St. Lucie
34994	2.8000000000000003	8.252808989	Martin
34997	2.73	6.372109697	Martin
