Zipcode	Average_Household_Size	Prevelance	COUNTYNAME
32643	2.72	0.145722613	Columbia
32643	2.72	0.145722613	Gilchrist
32653	2.73	5.103349964	Alachua
32693	2.87	8.00370308	Gilchrist
32693	2.87	8.00370308	Levy
32693	2.87	0.143073557	Gilchrist
32693	2.87	0.143073557	Levy
32696	2.99	8.290447089	Levy
32696	2.99	8.290447089	Marion
32696	2.99	0.040205854	Levy
32696	2.99	0.040205854	Marion
32701	2.93	6.58238884	Seminole
32703	3.3	6.839276082	Orange
32703	3.3	6.839276082	Seminole
32703	3.3	0.212041739	Orange
32703	3.3	0.212041739	Seminole
32707	2.86	6.154956155	Seminole
32708	2.9	6.045495664	Seminole
32712	3.18	6.463001807	Orange
32713	2.77	5.62894888	Volusia
32714	3.01	6.737579316	Seminole
32720	2.83	0.012337682	Lake
32720	2.83	0.012337682	Volusia
32720	2.83	6.085561827	Lake
32720	2.83	6.085561827	Volusia
32724	2.85	6.439219718	Volusia
32725	3.1	6.145464015	Volusia
32726	2.97	6.977985324	Lake
32738	3.21	6.005130341	Volusia
32746	2.84	5.614004067	Seminole
32750	3.07	5.738261738	Seminole
32751	3.01	7.222642517	Orange
32751	3.01	7.222642517	Seminole
32751	3.01	0.342663878	Orange
32751	3.01	0.342663878	Seminole
32754	2.78	3.741806264	Brevard
32754	2.78	3.741806264	Volusia
32754	2.78	0.036416606	Brevard
32754	2.78	0.036416606	Volusia
32757	2.82	6.498749553	Lake
32757	2.82	6.498749553	Orange
32757	2.82	0.050017864	Lake
32757	2.82	0.050017864	Orange
32763	2.87	6.448425484	Volusia
32765	3.17	5.920520321	Seminole
32771	3.06	6.440834607	Seminole
32773	3.1	7.122497998	Seminole
32778	2.73	7.989667765	Lake
32779	2.99	5.996013918	Seminole
32780	2.72	4.668291062	Brevard
32789	2.79	6.842125137	Orange
32792	3.0700000000000003	5.166573104	Orange
32792	3.0700000000000003	5.166573104	Seminole
32792	3.0700000000000003	0.501364719	Orange
32792	3.0700000000000003	0.501364719	Seminole
32796	2.8600000000000003	4.017662186	Brevard
32801	2.43	13.86914972	Orange
32803	2.5900000000000003	9.43517967	Orange
32804	2.8	9.11612939	Orange
32805	3.09	8.969748255	Orange
32806	2.91	6.966487112	Orange
32807	3.2199999999999998	8.575786354	Orange
32808	3.4200000000000004	5.741174883	Orange
32809	3.33	8.413816807	Orange
32810	3.19	6.003539262	Orange
32811	3.11	8.424872738	Orange
32812	2.91	7.220750244	Orange
32817	3.08	7.113076084	Orange
32818	3.37	5.261349187	Orange
32819	3.01	11.17097701	Orange
32821	2.83	13.04864253	Orange
32822	3.24	9.217940415	Orange
32824	3.5700000000000003	13.05881847	Orange
32825	3.23	8.267388928	Orange
32826	3.01	5.433423196	Orange
32835	3.15	7.321436	Orange
32837	3.35	10.54375365	Orange
32839	3.27	7.951064554	Orange
32901	2.69	8.194826418	Brevard
32904	3.02	7.632708943	Brevard
32905	2.99	6.488713415	Brevard
32907	3.08	6.381419722	Brevard
32909	3.1	7.628555886	Brevard
32922	3.2800000000000002	6.16434257	Brevard
32926	2.77	4.120465435	Brevard
32927	2.95	4.069109106	Brevard
32931	2.41	5.279209934	Brevard
32934	2.81	5.694844282	Brevard
32935	2.88	5.23429348	Brevard
32937	2.76	5.121411201	Brevard
32940	2.68	5.335420075	Brevard
32951	2.45	3.582762652	Brevard
32952	2.85	4.788705523	Brevard
32953	2.75	5.651865157	Brevard
32955	2.73	4.99884286	Brevard
32958	2.4499999999999997	5.318516965	Indian River
32960	2.79	10.09257579	Indian River
32962	2.86	6.062209456	Indian River
32963	2.24	4.738138018	Indian River
32963	2.24	4.738138018	St. Lucie
32963	2.24	0.026618753	Indian River
32963	2.24	0.026618753	St. Lucie
32966	2.52	5.898602535	Indian River
32968	2.66	6.515128478	Indian River
32976	2.2199999999999998	4.652441707	Brevard
33004	2.81	8.543713468	Broward
33009	2.8600000000000003	9.524267642	Broward
33010	3.1799999999999997	17.10427441	Dade
33012	3.1500000000000004	16.67253617	Dade
33013	3.33	18.57025732	Dade
33014	3.19	15.39929396	Dade
33015	3.28	15.16125672	Dade
33016	3.3	16.60541586	Dade
33018	3.36	18.33055654	Dade
33020	2.98	9.557667176	Broward
33021	3.04	10.33619671	Broward
33023	3.46	10.18750084	Broward
33024	3.35	11.22496994	Broward
33025	3.08	11.39483576	Broward
33026	3	8.692107491	Broward
33027	3	10.54895433	Broward
33028	3.2800000000000002	13.49076281	Broward
33029	3.38	10.01640331	Broward
33030	3.68	14.63898252	Dade
33032	3.68	15.03739902	Dade
33033	3.56	14.37349171	Dade
33034	3.8400000000000003	12.42886821	Dade
33034	3.8400000000000003	12.42886821	Monroe
33034	3.8400000000000003	0	Dade
33034	3.8400000000000003	0	Monroe
33037	2.62	7.914201183	Monroe
33040	2.93	8.221403499	Monroe
33050	2.67	6.883405697	Monroe
33055	3.5100000000000002	16.63283027	Dade
33056	3.52	12.98809194	Dade
33060	3.17	9.215144103	Broward
33062	2.33	6.914331042	Broward
33063	2.8600000000000003	9.1560495	Broward
33064	3.2800000000000002	10.44328064	Broward
33065	3.42	9.618194633	Broward
33066	2.57	8.23782235	Broward
