Zipcode	Median_Income	Prevelance
32003	42439	7.752127214395313
32011	30398	10.503825211937418
32024	27115	8.72403865926383
32024	27115	0.07197203372403867
32025	26306	14.669456781687733
32034	34240	7.152081329853003
32038	25422	6.038884524744698
32043	31417	9.662341547320793
32043	31417	0
32060	23215	12.807513297872342
32065	34731	8.522650893937357
32068	31413	6.990663990925748
32073	30128	8.24082784571966
32080	34643	0
32080	34643	5.92516059476214
32081	49413	0.28271405492730206
32081	49413	10.009423801830911
32082	48789	7.973411048167916
32084	25859	7.427085372332988
32086	30428	7.829614604462474
32092	42487	8.529205165613012
32110	20734	5.733639772589815
32114	20619	7.863731847657321
32117	22690	8.52980132450331
32118	28052	5.159817351598173
32119	24547	5.419799498746867
32127	28623	5.579314428580828
32128	35396	5.731010716140301
32129	26263	5.517241379310345
32132	26606	5.178335535006605
32136	30806	4.936190705514086
32136	30806	0.04815795810257645
32137	28739	5.025526483726867
32141	26385	4.3718144080710415
32159	27023	5.1671122994652405
32159	27023	0.10695187165775401
32162	31931	0.36214081636366946
32162	31931	4.187366926898509
32164	25989	5.5385395323292705
32168	28399	6.149066078976842
32174	30079	0.007817844229453728
32174	30079	5.585849701944689
32176	27857	4.730290456431535
32177	20971	9.864034270813931
32205	29313	8.041577297475664
32206	19924	8.810132900730018
32207	29899	8.808611361587015
32208	20659	11.82516779611556
32209	18521	8.324509944198025
32210	28282	8.707774626095926
32211	25838	7.344981350085537
32216	31730	10.870759331432607
32217	30898	8.045630433690135
32218	30257	9.703626165888107
32220	31314	8.936137431630845
32221	28561	9.45631067961165
32223	39755	7.923975418175898
32224	39624	7.274501793090926
32225	36540	9.040677596422988
32226	37803	10.704027573881406
32233	31926	7.117979102446055
32244	29220	8.277499074105249
32246	32273	9.306247455852992
32250	48547	10.651104749321002
32254	20844	8.606954061499517
32256	37231	8.835492146924473
32257	32501	8.533333333333333
32258	43595	8.570337289928311
32259	47683	8.381138136759981
32277	27903	7.736566956414142
32301	25138	9.684835712232973
32303	30422	8.468880780093595
32304	10713	12.338013499709575
32305	22983	8.24323031288872
32308	40400	10.363611602887103
32309	44462	0
32309	44462	7.03547805171377
32310	20833	10.505661348430262
32311	38541	7.397592526051024
32312	49596	7.802824634719214
32317	42519	7.643183651519225
32322	23275	12.99449173760641
32327	31771	0.014022787028921999
32327	31771	9.833479404031552
32340	20698	11.06910497626165
32344	27379	9.946584655228229
32347	25452	10.881850440268103
32351	24533	11.949786324786325
32401	23238	8.76197394107232
32404	27103	9.865073538718578
32405	26231	9.662210366326498
32407	31313	13.038255405655146
32408	30444	8.518871925360475
32425	20753	11.489768879729132
32425	20753	0.14721036360959813
32428	21542	0.02277385561375541
32428	21542	11.529264404463675
32433	21710	8.26201264194216
32444	32522	10.702522221720887
32446	23188	13.405308142150247
32459	37494	12.52541683611224
32460	30675	9.52548330404218
32501	20566	17.001975929585058
32503	23392	8.684602576461309
32504	29638	10.17640280117011
32505	22430	9.565910298246944
