Zipcode	Proportion	Prevelance	COUNTYNAME
32578	16	9.200120736492606	Walton
32578	16	0.02112888620585572	Okaloosa
32578	16	0.02112888620585572	Walton
32579	19	7.980266976204295	Okaloosa
32583	22	9.606674612634087	Santa Rosa
32605	17	5.947722648301769	Alachua
32606	19	6.074567016466172	Alachua
32607	42.00000000000001	8.936254716356656	Alachua
32608	37	7.01987555125959	Alachua
32615	24.000000000000004	8.1994866153282	Alachua
32626	44	7.538146208153041	Levy
32641	40	8.068721171201283	Alachua
32643	27	5.743185324875707	Alachua
32643	27	5.743185324875707	Columbia
32643	27	5.743185324875707	Gilchrist
32643	27	0.03428767358134751	Alachua
32643	27	0.03428767358134751	Columbia
32643	27	0.03428767358134751	Gilchrist
32643	27	0.1457226127207269	Alachua
32643	27	0.1457226127207269	Columbia
32643	27	0.1457226127207269	Gilchrist
32653	24	5.103349964362081	Alachua
32693	37	8.003703080289513	Gilchrist
32693	37	8.003703080289513	Levy
32693	37	0.14307355664029625	Gilchrist
32693	37	0.14307355664029625	Levy
32696	34	8.290447089096173	Levy
32696	34	8.290447089096173	Marion
32696	34	0.04020585397233837	Levy
32696	34	0.04020585397233837	Marion
32701	26	6.582388840453357	Seminole
32703	24	6.839276082063874	Orange
32703	24	6.839276082063874	Seminole
32703	24	0.2120417387422577	Orange
32703	24	0.2120417387422577	Seminole
32707	28.999999999999996	6.154956154956155	Seminole
32708	17	6.045495664452927	Seminole
32712	14.000000000000002	6.463001806816057	Orange
32713	22	5.6289488799540495	Volusia
32714	24.000000000000004	6.737579315973777	Seminole
32720	30.000000000000004	0.012337682366367477	Lake
32720	30.000000000000004	0.012337682366367477	Volusia
32720	30.000000000000004	6.085561827210759	Lake
32720	30.000000000000004	6.085561827210759	Volusia
32724	32	6.439219718081221	Volusia
32725	22	6.1454640145824575	Volusia
32726	33	6.977985323549032	Lake
32738	24	6.005130341365022	Volusia
32746	13	5.614004066837592	Seminole
32750	18	5.7382617382617385	Seminole
32751	16	7.2226425170219395	Orange
32751	16	7.2226425170219395	Seminole
32751	16	0.34266387788705444	Orange
32751	16	0.34266387788705444	Seminole
32754	25	3.741806263656227	Brevard
32754	25	3.741806263656227	Volusia
32754	25	0.03641660597232338	Brevard
32754	25	0.03641660597232338	Volusia
32757	24	6.498749553411932	Lake
32757	24	6.498749553411932	Orange
32757	24	0.050017863522686674	Lake
32757	24	0.050017863522686674	Orange
32763	28.999999999999996	6.448425484383727	Volusia
32765	18	5.920520321155163	Seminole
32771	25	6.440834607045106	Seminole
32773	31	7.122497998398719	Seminole
32778	28.000000000000004	7.989667765208871	Lake
32779	12	5.99601391750836	Seminole
32780	28.999999999999996	4.668291062133126	Brevard
32789	21	6.842125136880263	Orange
32792	28.000000000000004	5.166573104396136	Orange
32792	28.000000000000004	5.166573104396136	Seminole
32792	28.000000000000004	0.5013647186356684	Orange
32792	28.000000000000004	0.5013647186356684	Seminole
32796	30	4.017662186423408	Brevard
32801	29.000000000000004	13.869149718206323	Orange
32803	15	9.435179670438753	Orange
32804	18	9.116129390223602	Orange
32805	53	8.969748254707003	Orange
32806	20	6.966487111818083	Orange
32807	30	8.575786353564132	Orange
32808	41	5.741174883203184	Orange
32809	30	8.413816807011514	Orange
32810	28.000000000000004	6.003539262037453	Orange
32811	36	8.424872737900966	Orange
32812	25	7.220750244038489	Orange
32817	22	7.1130760836108236	Orange
32818	30	5.261349187257294	Orange
32819	18	11.170977011494253	Orange
32821	26	13.048642533936652	Orange
32822	34	9.217940414507773	Orange
32824	16	13.05881846736371	Orange
32825	21	8.267388927866339	Orange
32826	31	5.433423195575442	Orange
32835	22	7.321435999833604	Orange
32837	18	10.54375365425843	Orange
32839	37	7.951064553946225	Orange
32901	42.00000000000001	8.19482641795209	Brevard
32904	19	7.632708942684673	Brevard
32905	38	6.4887134151574974	Brevard
32907	20	6.3814197215622706	Brevard
32909	23	7.628555886211641	Brevard
32922	48	6.164342569872524	Brevard
32926	27	4.120465434633813	Brevard
32927	17	4.069109106184023	Brevard
32931	23	5.279209933919105	Brevard
32934	19	5.694844281601675	Brevard
32935	29.000000000000004	5.234293479579703	Brevard
32937	15	5.121411201045333	Brevard
32940	19	5.335420075407271	Brevard
32951	15	3.5827626524135625	Brevard
32952	17	4.788705523228084	Brevard
32953	24.000000000000004	5.65186515727474	Brevard
32955	16	4.9988428604489705	Brevard
32958	25	5.318516965440123	Indian River
32960	37	10.09257578507896	Indian River
32962	26	6.062209456139687	Indian River
32963	10	4.738138018233846	Indian River
32963	10	4.738138018233846	St. Lucie
32963	10	0.0266187529114261	Indian River
32963	10	0.0266187529114261	St. Lucie
32966	26	5.898602534936626	Indian River
32968	17	6.515128478029498	Indian River
32976	39	4.652441706995161	Brevard
33004	33	8.54371346847407	Broward
33009	38	9.524267641541199	Broward
33010	50	17.104274410997657	Dade
33012	47	16.6725361651406	Dade
33013	44	18.570257315842582	Dade
33014	36	15.399293960499952	Dade
33015	28.000000000000004	15.161256715929216	Dade
33016	28.999999999999996	16.60541586073501	Dade
33018	21	18.33055654355192	Dade
33020	36	9.557667176113585	Broward
33021	21.000000000000004	10.336196712120302	Broward
33023	24	10.187500844902871	Broward
33024	22	11.224969937784284	Broward
33025	20	11.394835757476713	Broward
33026	17	8.692107491141702	Broward
33027	25	10.548954333459681	Broward
33028	9	13.490762812872466	Broward
33029	8	10.016403313884679	Broward
33030	37	14.63898252273178	Dade
33032	25	15.037399022638876	Dade
33033	28.999999999999996	14.373491707600937	Dade
33034	45	12.428868214253455	Dade
33034	45	12.428868214253455	Monroe
33034	45	0	Dade
33034	45	0	Monroe
33037	23	7.914201183431953	Monroe
33040	20	8.22140349859302	Monroe
33050	23	6.883405697341946	Monroe
33055	32	16.632830271751097	Dade
33056	37	12.9880919412905	Dade
33060	37	9.21514410294587	Broward
33062	24.000000000000004	6.914331041776838	Broward
33063	32	9.156049500063977	Broward
33064	28.000000000000004	10.443280635635391	Broward
33065	23	9.618194633064585	Broward
33066	28.999999999999996	8.237822349570202	Broward
33067	9	8.615395862270633	Broward
33068	30	9.679804356480691	Broward
33069	28.999999999999996	9.961617741132986	Broward
33071	13	8.85234252068423	Broward
33073	16	10.384985018938323	Broward
33076	7.000000000000001	7.891842111995088	Broward
33125	52	17.826541958270653	Dade
33126	41	15.836258634356245	Dade
33127	49	10.576139426995173	Dade
33130	45	18.717422739348287	Dade
33131	11	17.800508740596417	Dade
33135	53	13.576567317574511	Dade
