Zipcode	Proportion	Prevelance	COUNTYNAME
32003	0.13	7.752127214395313	Clay
32011	0.21	10.503825211937418	Nassau
32024	0.24000000000000002	8.72403865926383	Columbia
32024	0.24000000000000002	8.72403865926383	Suwannee
32024	0.24000000000000002	0.07197203372403867	Columbia
32024	0.24000000000000002	0.07197203372403867	Suwannee
32025	0.33	14.669456781687733	Columbia
32034	0.17	7.152081329853003	Nassau
32038	0.33999999999999997	6.038884524744698	Columbia
32043	0.23	9.662341547320793	Clay
32043	0.23	9.662341547320793	Putnam
32043	0.23	0	Clay
32043	0.23	0	Putnam
32060	0.28	12.807513297872342	Suwannee
32065	0.15	8.522650893937357	Clay
32068	0.19	6.990663990925748	Clay
32073	0.22	8.24082784571966	Clay
32080	0.18	0	Flagler
32080	0.18	0	St. Johns
32080	0.18	5.92516059476214	Flagler
32080	0.18	5.92516059476214	St. Johns
32081	0.04	0.28271405492730206	Duval
32081	0.04	0.28271405492730206	St. Johns
32081	0.04	10.009423801830911	Duval
32081	0.04	10.009423801830911	St. Johns
32082	0.12	7.973411048167916	St. Johns
32084	0.28	7.427085372332988	St. Johns
32086	0.21000000000000002	7.829614604462474	St. Johns
32092	0.1	8.529205165613012	St. Johns
32110	0.47000000000000003	5.733639772589815	Flagler
32114	0.5	7.863731847657321	Volusia
32117	0.41000000000000003	8.52980132450331	Volusia
32118	0.33	5.159817351598173	Volusia
32119	0.38	5.419799498746867	Volusia
32127	0.29000000000000004	5.579314428580828	Volusia
32128	0.18	5.731010716140301	Volusia
32129	0.32	5.517241379310345	Volusia
32132	0.31	5.178335535006605	Volusia
32136	0.28	4.936190705514086	Flagler
32136	0.28	4.936190705514086	Volusia
32136	0.28	0.04815795810257645	Flagler
32136	0.28	0.04815795810257645	Volusia
32137	0.22	5.025526483726867	Flagler
32141	0.26	4.3718144080710415	Volusia
32159	0.28	5.1671122994652405	Lake
32159	0.28	5.1671122994652405	Sumter
32159	0.28	0.10695187165775401	Lake
32159	0.28	0.10695187165775401	Sumter
32162	0.16	0.36214081636366946	Marion
32162	0.16	0.36214081636366946	Sumter
32162	0.16	4.187366926898509	Marion
32162	0.16	4.187366926898509	Sumter
32164	0.23	5.5385395323292705	Flagler
32168	0.23	6.149066078976842	Volusia
32174	0.24	0.007817844229453728	Flagler
32174	0.24	0.007817844229453728	Volusia
32174	0.24	5.585849701944689	Flagler
32174	0.24	5.585849701944689	Volusia
32176	0.29	4.730290456431535	Volusia
32177	0.41000000000000003	9.864034270813931	Putnam
32205	0.33	8.041577297475664	Duval
32206	0.51	8.810132900730018	Duval
32207	0.28	8.808611361587015	Duval
32208	0.44	11.82516779611556	Duval
32209	0.56	8.324509944198025	Duval
32210	0.30000000000000004	8.707774626095926	Duval
32211	0.33	7.344981350085537	Duval
32216	0.27	10.870759331432607	Duval
32217	0.26	8.045630433690135	Duval
32218	0.24000000000000002	9.703626165888107	Duval
32220	0.24000000000000002	8.936137431630845	Duval
32221	0.2	9.45631067961165	Duval
32223	0.14	7.923975418175898	Duval
32224	0.15	7.274501793090926	Duval
32225	0.13	9.040677596422988	Duval
32226	0.16	10.704027573881406	Duval
32233	0.17	7.117979102446055	Duval
32244	0.25	8.277499074105249	Duval
32246	0.19	9.306247455852992	Duval
32250	0.16	10.651104749321002	Duval
32254	0.48	8.606954061499517	Duval
32256	0.16	8.835492146924473	Duval
32257	0.2	8.533333333333333	Duval
32258	0.12	8.570337289928311	Duval
32259	0.06	8.381138136759981	St. Johns
32277	0.26	7.736566956414142	Duval
32301	0.31	9.684835712232973	Leon
32303	0.27	8.468880780093595	Leon
32304	0.5900000000000001	12.338013499709575	Leon
32305	0.37	8.24323031288872	Leon
32308	0.21000000000000002	10.363611602887103	Leon
32309	0.14	0	Jefferson
32309	0.14	0	Leon
32309	0.14	7.03547805171377	Jefferson
32309	0.14	7.03547805171377	Leon
32310	0.44	10.505661348430262	Leon
32311	0.11	7.397592526051024	Leon
32312	0.09	7.802824634719214	Leon
32317	0.11	7.643183651519225	Leon
32322	0.38	12.99449173760641	Franklin
32327	0.21	0.014022787028921999	Leon
32327	0.21	0.014022787028921999	Wakulla
32327	0.21	9.833479404031552	Leon
32327	0.21	9.833479404031552	Wakulla
32340	0.42000000000000004	11.06910497626165	Madison
32344	0.38	9.946584655228229	Jefferson
32347	0.3	10.881850440268103	Taylor
32351	0.38	11.949786324786325	Gadsden
32401	0.38	8.76197394107232	Bay
32404	0.25	9.865073538718578	Bay
32405	0.30000000000000004	9.662210366326498	Bay
32407	0.2	13.038255405655146	Bay
32408	0.23	8.518871925360475	Bay
32425	0.41000000000000003	11.489768879729132	Holmes
32425	0.41000000000000003	11.489768879729132	Washington
32425	0.41000000000000003	0.14721036360959813	Holmes
32425	0.41000000000000003	0.14721036360959813	Washington
32428	0.38	0.02277385561375541	Jackson
32428	0.38	0.02277385561375541	Washington
32428	0.38	11.529264404463675	Jackson
32428	0.38	11.529264404463675	Washington
32433	0.38	8.26201264194216	Walton
32444	0.15	10.702522221720887	Bay
32446	0.28	13.405308142150247	Jackson
32459	0.12	12.52541683611224	Walton
32460	0.32	9.52548330404218	Jackson
32501	0.52	17.001975929585058	Escambia
32503	0.28	8.684602576461309	Escambia
32504	0.28	10.17640280117011	Escambia
32505	0.37	9.565910298246944	Escambia
32506	0.25	7.639646519746892	Escambia
32507	0.25	6.563345791983504	Escambia
32514	0.28	10.347752332485156	Escambia
32526	0.18	9.682412596744063	Escambia
32533	0.13	10.140342610978358	Escambia
32534	0.29000000000000004	9.781576448243115	Escambia
